Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
WL - Starbucks Coffee ,78746.0,2022-12-20,97,701 S CAPITAL OF TEXAS HWY NB UNIT B-200 WEST LAKE HILLS TX 78746 ,10942718,Routine Inspection
Texican Cafe,78613.0,2022-12-20,83,"11066 PECAN PARK BLVD AUSTIN, TX 78613 ",2802131,Routine Inspection
WL - Starbucks Coffee ,78746.0,2022-12-20,98,"3300 BEE CAVES RD WEST LAKE HILLS, TX 78746 ",10002742,Routine Inspection
Mariscos Los Jarochos,78753.0,2022-12-20,87,"9200 N LAMAR BLVD AUSTIN, TX 78753 ",11064474,Routine Inspection
Accent Food Services - Rutherford Campus,78754.0,2022-12-20,100,"1520 RUTHERFORD LN AUSTIN, TX 78754 ",12394529,Routine Inspection
WL - Chick-Fil-A,78746.0,2022-12-20,98,701 S CAPITAL OF TEXAS HWY NB UNIT L WEST LAKE HILLS TX 78746 ,11690733,Routine Inspection
Phil's Ice House,78756.0,2022-12-20,81,"5620 BURNET RD AUSTIN, TX 78756 ",2802967,Routine Inspection
"Bread Basket, The",78702.0,2022-12-20,87,"1514 HOLLY ST AUSTIN, TX 78702 ",2803741,Routine Inspection
Ryan Sanders Sports Services,78744.0,2022-12-20,94,"5400 JIMMY CLAY DR AUSTIN, TX 78744 ",11612024,Routine Inspection
"Park on South Lamar, The",78704.0,2022-12-19,84,"4024 S LAMAR BLVD AUSTIN, TX 78704 ",11088477,Routine Inspection
La Buena Supermercado (Kitchen),78745.0,2022-12-19,81,"512 W STASSNEY LN AUSTIN, TX 78745 ",12394423,Routine Inspection
Wendy's W118,78751.0,2022-12-19,92,"1000 E 41ST ST AUSTIN, TX 78751 ",11119191,Routine Inspection
BJ's Restaurant & Brewhouse,78759.0,2022-12-19,83,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",10575343,Routine Inspection
Sonic Drive - In ,78748.0,2022-12-19,96,"155 W SLAUGHTER LN AUSTIN, TX 78748 ",12393745,Routine Inspection
PF - Hilton Home2/Tru Pflugerville,78660.0,2022-12-19,99,"18700 HILLTOP COMMERCIAL DR PFLUGERVILLE, TX 78660 ",12394325,Routine Inspection
Selam International Mart & Cafe,78753.0,2022-12-19,94,"10009 N LAMAR BLVD AUSTIN, TX 78753 ",11785453,Routine Inspection
Lupe Tortilla Mexican Restaurant,78759.0,2022-12-19,90,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",10730943,Routine Inspection
Wendy's Old Fashioned Hamburgers ,78741.0,2022-12-19,96,"6210 E BEN WHITE BLVD AUSTIN, TX 78741 ",11081676,Routine Inspection
Chipotle Mexican Grill ,78745.0,2022-12-19,95,"610 E STASSNEY LN AUSTIN, TX 78745 ",10179276,Routine Inspection
PF - Cinemark Stonehill ,78660.0,2022-12-19,99,"18820 HILLTOP COMMERCIAL DR PFLUGERVILLE, TX 78660 ",12392680,Routine Inspection
Asian American Resource Center (AARC),78754.0,2022-12-19,100,"8401 CAMERON RD AUSTIN, TX 78754 ",11005845,Routine Inspection
Soho House Austin (Top Floor Club & Kitchen),78704.0,2022-12-19,94,"1011 S CONGRESS AVE AUSTIN, TX 78704 ",12394743,Routine Inspection
